Date,MARICOPA,"20"" Soil Temp - Max","20"" Soil Temp - Mean","20"" Soil Temp - Min","4"" Soil Temp - Max","4"" Soil Temp - Mean","4"" Soil Temp - Min",Actual Vapor Pressure - Daily Mean,Air Temp - Max,Air Temp - Mean,Air Temp - Min,Dewpoint - Daily Mean,Heat Units,Max Wind Speed,Precipitation - Total,RH - Max,RH - Mean,RH - Min,Reference ET,Reference ET Penman-Monteith,Solar Rad. - Total,VPD - Mean,Wind Direction Std Dev,Wind Speed - Mean,Wind Vector Direction,Wind Vector Magnitude,Daily AQI Value,Daily Mean PM10 Concentration
2006_1,24,13.78571429,13.34285714,12.91428571,15.48571429,12.37142857,9.385714286,0.535714286,24.22857143,13.54285714,3.2,-2.285714286,3.885714286,6.157142857,0,67.12857143,37.62857143,15.17142857,3.057142857,2.742857143,12.29,1.152857143,55.71428571,1.728571429,134.1428571,0.985714286,55.11428571,67.34285714
2006_2,22,12.14285714,11.67142857,11.22857143,12.87142857,9.071428571,5.885714286,0.341428571,22.82857143,10.18571429,-0.157142857,-7.957142857,2.957142857,3.871428571,0,63.12857143,31.08571429,9.471428571,2.728571429,2.228571429,12.88142857,1.04,68.57142857,1.171428571,199,0.328571429,71.14285714,96.02857143
2006_3,19,11.72857143,11.35714286,11.02857143,12.52857143,9.057142857,6.314285714,0.351428571,17.24285714,7.928571429,-0.342857143,-7.957142857,1.028571429,6.485714286,0,61.87142857,34.7,15.05714286,2.914285714,2.342857143,13.71285714,0.797142857,54.28571429,1.814285714,239.7142857,1.1,59.34285714,75.57142857
2006_4,132,10.97142857,10.47142857,10.15714286,12.75714286,9.028571429,5.928571429,0.362857143,20.91428571,9.942857143,-0.485714286,-7.185714286,2.328571429,6.957142857,0,59.58571429,32.8,12.81428571,3.585714286,3.114285714,14.50714286,0.994285714,51.85714286,2.057142857,179.5714286,1.314285714,57.31428571,71.71428571
2006_5,111,12.24285714,11.72857143,11.35714286,15.75714286,11.67142857,8.3,0.481428571,23.4,11.82857143,1.7,-3.328571429,3.371428571,4.371428571,0,67.97142857,38.34285714,15.45714286,3.214285714,2.571428571,15.35142857,1.042857143,66.28571429,1.257142857,224.5714286,0.471428571,59.2,75.14285714
2006_6,108,13.08571429,12.58571429,12.18571429,15.94285714,12.38571429,9.314285714,0.418571429,24.52857143,13.25714286,3.1,-6.3,3.957142857,7.871428571,0,61.5,30.65714286,9.585714286,3.771428571,3.471428571,14.33714286,1.25,54,1.842857143,98.71428571,1.057142857,64.57142857,84.57142857
2006_7,71,13.65714286,13.18571429,12.81428571,17.18571429,13.3,10.02857143,0.347142857,23.12857143,13.11428571,3.5,-8,3.471428571,6.471428571,0,50.32857143,25.21428571,9.628571429,3.914285714,3.4,16.06142857,1.29,56.28571429,1.685714286,236.4285714,0.928571429,72.91428571,100.5714286
2006_8,97,13.78571429,13.27142857,12.87142857,17.47142857,13,9.2,0.388571429,21.77142857,10.8,0.571428571,-6.285714286,2.642857143,5.271428571,0,61.51428571,33.57142857,14.2,3.9,3.114285714,18.69,1.034285714,62.28571429,1.385714286,217.1428571,0.571428571,52.17142857,63.02857143
2006_9,135,15.21428571,14.7,14.22857143,19.04285714,15.24285714,11.95714286,0.565714286,26.68571429,16.3,6.6,-2.057142857,5.5,4.814285714,0,58.84285714,32.1,13.34285714,3.957142857,3.557142857,16.70142857,1.435714286,58.14285714,1.414285714,220.2857143,0.685714286,54.31428571,65.6
2006_10,127,15.28571429,14.91428571,14.52857143,18.14285714,14.52857143,11.44285714,0.535714286,20.94285714,13.3,5.4,-2.314285714,2.914285714,8.228571429,8.128571429,64.74285714,39.92857143,18.27142857,4.057142857,3.771428571,15.89,1.097142857,50.42857143,2.642857143,220.1428571,1.714285714,54.97142857,71.91428571
2006_11,75,14.1,13.65714286,13.3,17.85714286,13.38571429,9.671428571,0.741428571,20.12857143,12.44285714,4.714285714,2.428571429,2.471428571,6.114285714,0.072857143,90.17142857,55.62857143,19.98571429,4.257142857,3.5,21.25857143,0.792857143,53.85714286,1.928571429,218.8571429,1.185714286,25.91428571,28.42857143
2006_12,95,14.8,14.38571429,14.04285714,19.58571429,14.81428571,10.8,0.745714286,21.97142857,13.42857143,5.442857143,2.5,3.3,7.914285714,0.652857143,87.91428571,55.22857143,24.38571429,4.3,3.771428571,20.61714286,0.924285714,70,1.9,169.4285714,1.014285714,26,28.54285714
2006_13,145,17.4,17.04285714,16.71428571,22.5,18.84285714,15.8,0.848571429,25.32857143,18.84285714,12.8,4.342857143,6.457142857,7.628571429,0,66.67142857,40.82857143,20.6,5.142857143,4.771428571,19.80142857,1.387142857,49.28571429,2.4,194.8571429,1.614285714,27.77142857,30.2
2006_14,74,18.34285714,17.9,17.5,23.1,18.87142857,15.17142857,0.678571429,26.91428571,18.87142857,9.9,1.1,6.442857143,6.028571429,0,69.12857143,34.64285714,12.65714286,5.514285714,4.871428571,22.58,1.642857143,57.57142857,1.942857143,197.1428571,1.142857143,38.97142857,44.02857143
2006_15,89,19.42857143,19,18.64285714,26.02857143,21.17142857,16.88571429,0.671428571,30.01428571,21.14285714,11.11428571,1.057142857,7.885714286,7.285714286,0,60.17142857,30.28571429,11.48571429,6.042857143,5.671428571,22.65571429,2.01,58,2.014285714,217.8571429,1.114285714,63.85714286,89.62857143
2006_16,103,20.34285714,19.81428571,19.38571429,25.52857143,20.67142857,16.47142857,0.517142857,30.84285714,21.25714286,10.64285714,-2.7,8.142857143,7.514285714,0,48.7,23.47142857,8.285714286,7.528571429,6.514285714,27.17142857,2.195714286,49.14285714,2.157142857,212.1428571,1.428571429,45.91428571,52.37142857
2006_17,137,20.27142857,19.8,19.37142857,24.85714286,20.05714286,15.8,0.7,27.72857143,19.04285714,9.642857143,1.614285714,6.442857143,7.442857143,0,60.82857143,34.94285714,15.3,6.857142857,5.9,27.45571429,1.642857143,55.14285714,2.228571429,216.7142857,1.285714286,38.71428571,43.28571429
2006_18,62,21.65714286,21.2,20.75714286,28.54285714,23.22857143,18.5,0.607142857,34.45714286,25.28571429,14.64285714,-0.357142857,10.75714286,8.371428571,0,45.35714286,21.14285714,8.728571429,8.457142857,7.528571429,28.84714286,2.828571429,52,2.271428571,205.5714286,1.371428571,40.22857143,45.17142857
2006_19,51,23.45714286,23,22.61428571,31.15714286,25.71428571,20.91428571,0.614285714,36.55714286,27.05714286,16.38571429,-0.042857143,12.02857143,6.4,0,39.17142857,19.32857143,7.414285714,8.342857143,7.457142857,29.18714286,3.201428571,57.28571429,1.942857143,207.2857143,0.971428571,47.25714286,54.77142857
2006_20,70,24.3,23.82857143,23.45714286,30.88571429,25.81428571,21.55714286,0.712857143,39.45714286,29.85714286,19.05714286,1.614285714,13.58571429,9.142857143,0,43.84285714,18.95714286,7.385714286,8.485714286,7.957142857,27.30428571,3.757142857,57,2.1,185.4285714,1.028571429,49.22857143,59
2006_21,101,24.91428571,24.44285714,24.02857143,31.21428571,26.35714286,21.92857143,0.65,36.4,27.72857143,17.47142857,0.542857143,12.28571429,9.028571429,0,42.32857143,19.87142857,7.857142857,9.357142857,8.957142857,28.65714286,3.312857143,42,3.071428571,214.7142857,2.3,52,61.94285714
2006_22,46,25.61428571,25.1,24.7,34.44285714,28.65714286,23.4,0.58,38.51428571,28.24285714,16.35714286,-1.785714286,12.14285714,7.314285714,0,44.44285714,17.37142857,4.685714286,8.614285714,7.6,29.73571429,3.642857143,61.14285714,1.8,202.5714286,0.814285714,52.6,63.05714286
2006_23,108,27.74285714,27.28571429,26.77142857,35.58571429,30.44285714,26.2,1.064285714,41.34285714,32.2,22.7,6.785714286,15.18571429,12.15714286,1.451428571,56.84285714,25.67142857,8.728571429,9.185714286,8.942857143,28.68142857,3.992857143,53.71428571,2.428571429,207,1.357142857,47.25714286,56.68571429
2006_24,99,27.18571429,26.7,26.31428571,34.32857143,29,24.15714286,0.604285714,40.35714286,31.07142857,19.7,-0.671428571,13.92857143,8.228571429,0,38.98571429,15.38571429,4.985714286,10.12857143,9.142857143,31.26428571,4.2,42.14285714,2.414285714,226.1428571,1.8,47.31428571,55.6
2006_25,41,28.92857143,28.51428571,28.21428571,38.07142857,33.15714286,28.62857143,0.971428571,42.3,34.04285714,23.9,6.314285714,15.64285714,8.157142857,0,41.97142857,20,8.071428571,9.2,8.857142857,28.50714286,4.59,59.85714286,2.257142857,198.8571429,1.028571429,54.34285714,65.45714286
2006_26,57,29.41428571,28.94285714,28.55714286,35.3,31.11428571,27.54285714,1.44,41.47142857,33.74285714,25.18571429,12.17142857,16.07142857,11.94285714,0,56.57142857,29.81428571,13,8.928571429,8.885714286,27.68142857,3.99,69.57142857,2.5,190.1428571,0.914285714,59.6,75.57142857
2006_27,86,28.62857143,28.3,27.91428571,32.74285714,29.34285714,26.25714286,1.831428571,38.95714286,32.31428571,25.44285714,15.88571429,15.94285714,9.314285714,0.254285714,68.1,41.35714286,20.58571429,7.7,7.957142857,24.69714286,3.17,53.14285714,2.628571429,190.1428571,1.471428571,33.6,37.4
2006_28,78,29.55714286,29.18571429,28.81428571,37.22857143,32.38571429,28.3,1.472857143,43.75714286,35.97142857,27.2,12.48571429,16.65714286,8.442857143,0,50.22857143,26.82857143,11.62857143,9.285714286,8.942857143,28.87285714,4.658571429,60.28571429,2.171428571,229.8571429,0.928571429,45.8,53.57142857
2006_29,108,30.97142857,30.52857143,30.14285714,37.57142857,33.42857143,29.7,1.644285714,43.4,35.62857143,27.41428571,14.1,16.7,9.214285714,0.035714286,60.31428571,31.18571429,13.48571429,8.628571429,8.485714286,26.96714286,4.385714286,58.42857143,2.128571429,121.8571429,1.014285714,52.95714286,63.76428571
2006_30,68,30.44285714,30.02857143,29.7,35.22857143,31.75714286,28.6,2.17,38.77142857,32.6,25.14285714,18.34285714,15.75714286,9.542857143,2.394285714,80.52857143,48.85714286,27.92857143,6.957142857,7.042857143,23.26714286,2.948571429,47.42857143,2.757142857,164.5714286,1.871428571,32.52857143,36.35714286
2006_31,92,29.61428571,29.28571429,28.97142857,34.3,30.34285714,27.01428571,1.985714286,37.01428571,30.82857143,24.98571429,17.02857143,15.77142857,8.271428571,0,73.67142857,46.87142857,25.21428571,7.028571429,6.971428571,24.45,2.554285714,48.28571429,2.257142857,163,1.514285714,26.37142857,28.82857143
2006_32,48,30.38571429,29.95714286,29.61428571,36.34285714,32.15714286,28.64285714,2.094285714,39.78571429,31.94285714,24.51428571,17.9,15.74285714,9.128571429,1.342857143,78.61428571,47.78571429,22.51428571,7.2,7.214285714,25.26571429,2.814285714,62.57142857,2.071428571,168.7142857,0.8,36.08571429,40.14285714
2006_33,102,29.72857143,29.41428571,29,35.02857143,30.5,27.17142857,1.998571429,38.87142857,31.15714286,24.57142857,17.05714286,15.72857143,8.228571429,0.108571429,77.61428571,47.8,21,6.842857143,6.671428571,24.35571429,2.681428571,52.14285714,1.885714286,147.7142857,1.114285714,34.31428571,37.37142857
2006_34,58,29.82857143,29.52857143,29.22857143,33.82857143,30.18571429,27.21428571,2.135714286,37.78571429,30.6,23.81428571,18.3,15.3,8.042857143,0,83.12857143,52.05714286,25.4,6.128571429,6.271428571,21.75714286,2.395714286,50.28571429,2.057142857,125.8571429,1.228571429,30.14285714,34.02857143
2006_35,71,29.95714286,29.58571429,29.22857143,35.61428571,30.82857143,26.92857143,1.75,39.65714286,30.85714286,21.82857143,14.94285714,14.74285714,6.885714286,0,80.31428571,43.1,17.68571429,6.728571429,6.242857143,23.88857143,2.914285714,68.85714286,1.628571429,184.7142857,0.471428571,44.65714286,49.94285714
2006_36,29,29.58571429,29.27142857,28.91428571,33.67142857,29.88571429,26.88571429,2.275714286,34.05714286,27.57142857,21.98571429,19.45714286,14.15714286,8.328571429,0.072857143,91.65714286,64.4,33.94285714,5.557142857,5.385714286,21.72142857,1.494285714,58.85714286,2.128571429,114.4285714,1.014285714,19.54285714,21.14285714
2006_37,47,28.8,28.34285714,27.91428571,31.1,27.44285714,24.14285714,1.582857143,35.34285714,27.37142857,19.68571429,13.55714286,13.31428571,7.271428571,0,78.11428571,46.32857143,20.64285714,6.171428571,5.842857143,21.58571429,2.208571429,51,2.057142857,175,1.328571429,34.97142857,39.22857143
2006_38,62,27.11428571,26.68571429,26.27142857,30.41428571,26.11428571,22.45714286,0.998571429,33.61428571,24.71428571,15.42857143,6.414285714,11.01428571,6.3,0,70.41428571,35.4,13.2,6.042857143,5.342857143,21.86857143,2.295714286,57.14285714,1.757142857,193.2857143,0.971428571,46.82857143,54.05714286
2006_39,37,26.38571429,25.98571429,25.57142857,30.98571429,26.14285714,22.14285714,1.002857143,37.65714286,26.24285714,15.45714286,6.542857143,11.77142857,4.957142857,0,65.9,33.34285714,10.4,5.6,4.857142857,20.44428571,2.697142857,60.57142857,1.285714286,155.8571429,0.571428571,53.45714286,64.68571429
2006_40,62,26.94285714,26.55714286,26.21428571,30.92857143,27.17142857,23.97142857,1.157142857,36.24285714,26.61428571,17.64285714,8.457142857,12.5,7.014285714,0,64.88571429,35.84285714,13.94285714,5.328571429,5.171428571,17.28714286,2.532857143,57,1.942857143,172.1428571,1.014285714,51.31428571,61.02142857
2006_41,22,25.58571429,25.12857143,24.67142857,26.82857143,23.31428571,20.11428571,1.022857143,30.94285714,21.38571429,11.68571429,6.742857143,8.457142857,6.771428571,0.108571429,78.7,43.62857143,16.38571429,4.642857143,4.042857143,18.19428571,1.687142857,63.14285714,1.642857143,150.1428571,0.714285714,35.87142857,39.84
2006_42,44,23.12857143,22.65714286,22.2,24.62857143,20.48571429,17.11428571,0.754285714,27.68571429,18.3,9.771428571,2.4,6.657142857,6.628571429,0,69.47142857,39.2,14.8,4.7,3.928571429,18.92142857,1.488571429,59.71428571,1.814285714,205.1428571,0.857142857,39.25714286,44.85714286
