Date Local,Arithmetic Mean,AQI
2006-01-01,50.0,45.75
2006-01-02,47.125,43.0
2006-01-03,52.625,46.375
2006-01-04,88.375,67.25
2006-01-05,84.5,64.125
2006-01-06,82.25,62.75
2006-01-07,64.5,54.0
2006-01-08,63.625,54.625
2006-01-09,96.28571428571429,71.28571428571429
2006-01-10,100.0,72.75
2006-01-11,103.875,75.125
2006-01-12,110.5,78.625
2006-01-13,110.0,78.125
2006-01-14,104.71428571428571,75.57142857142857
2006-01-15,66.71428571428571,54.857142857142854
2006-01-16,41.285714285714285,38.0
2006-01-17,87.28571428571429,66.85714285714286
2006-01-18,91.125,68.375
2006-01-19,111.875,79.125
2006-01-20,63.25,52.875
2006-01-21,64.5,54.625
2006-01-22,50.125,44.625
2006-01-23,77.875,61.125
2006-01-24,81.75,62.25
2006-01-25,79.5,62.125
2006-01-26,83.125,63.875
2006-01-27,73.125,58.875
2006-01-28,48.625,43.25
2006-01-29,47.75,42.125
2006-01-30,79.0,62.375
2006-01-31,89.42857142857143,67.85714285714286
2006-02-01,81.0,62.42857142857143
2006-02-02,78.5,60.875
2006-02-03,90.125,68.125
2006-02-04,72.125,58.5
2006-02-05,69.125,57.25
2006-02-06,82.875,63.125
2006-02-07,75.125,58.875
2006-02-08,85.375,63.5
2006-02-09,112.375,79.5
2006-02-10,75.0,59.5
2006-02-11,64.625,53.25
2006-02-12,48.625,43.25
2006-02-13,97.375,71.875
2006-02-14,114.25,80.375
2006-02-15,133.625,90.125
2006-02-16,86.125,66.5
2006-02-17,105.0,75.75
2006-02-18,65.125,55.625
2006-02-19,29.875,27.625
2006-02-20,48.0,42.75
2006-02-21,58.25,50.0
2006-02-22,63.75,53.5
2006-02-23,79.75,62.75
2006-02-24,82.25,64.0
2006-02-25,68.125,56.625
2006-02-26,59.0,52.0
2006-02-27,87.75,66.75
2006-02-28,74.5,59.25
2006-03-01,39.625,35.25
2006-03-02,68.25,55.875
2006-03-03,65.125,54.25
2006-03-04,51.0,46.125
2006-03-05,49.125,44.75
2006-03-06,74.25,59.75
2006-03-07,83.375,64.625
2006-03-08,61.375,51.75
2006-03-09,41.625,37.75
2006-03-10,162.375,104.375
2006-03-11,10.375,9.375
2006-03-12,8.25,7.375
2006-03-13,18.875,17.5
2006-03-14,33.125,30.625
2006-03-15,34.25,31.625
2006-03-16,45.125,39.75
2006-03-17,40.25,35.375
2006-03-18,24.75,22.875
2006-03-19,13.5,12.5
2006-03-20,15.0,13.875
2006-03-21,23.125,21.375
2006-03-22,25.125,23.25
2006-03-23,43.75,38.375
2006-03-24,48.75,43.125
2006-03-25,30.875,28.5
2006-03-26,20.375,18.875
2006-03-27,34.125,31.625
2006-03-28,31.375,29.125
2006-03-29,35.375,32.0
2006-03-30,31.125,28.75
2006-03-31,34.0,31.5
2006-04-01,20.0,18.625
2006-04-02,25.5,23.625
2006-04-03,45.5,41.375
2006-04-04,54.875,46.75
2006-04-05,62.5,53.375
2006-04-06,27.875,25.75
2006-04-07,45.375,41.125
2006-04-08,40.125,37.125
2006-04-09,31.375,28.75
2006-04-10,36.75,34.0
2006-04-11,40.25,36.875
2006-04-12,46.625,42.0
2006-04-13,61.875,52.125
2006-04-14,213.75,130.25
2006-04-15,167.25,106.0
2006-04-16,36.5,34.0
2006-04-17,46.375,41.5
2006-04-18,45.375,40.75
2006-04-19,44.75,40.625
2006-04-20,50.625,45.125
2006-04-21,64.25,54.125
2006-04-22,59.875,52.125
2006-04-23,32.125,30.0
2006-04-24,37.75,35.0
2006-04-25,54.625,47.875
2006-04-26,56.125,48.5
2006-04-27,49.625,43.75
2006-04-28,27.75,25.625
2006-04-29,34.5,31.875
2006-04-30,34.75,32.25
2006-05-01,40.25,36.625
2006-05-02,43.625,39.0
2006-05-03,48.375,41.875
2006-05-04,47.625,41.75
2006-05-05,42.0,38.375
2006-05-06,41.0,38.0
2006-05-07,31.75,29.375
2006-05-08,46.5,42.125
2006-05-09,53.875,46.375
2006-05-10,57.0,49.125
2006-05-11,71.75,58.5
2006-05-12,63.25,53.5
2006-05-13,41.125,38.0
2006-05-14,37.375,34.625
2006-05-15,76.5,61.375
2006-05-16,92.0,69.25
2006-05-17,48.5,43.375
2006-05-18,49.375,44.0
2006-05-19,47.875,42.875
2006-05-20,34.75,32.125
2006-05-21,50.625,45.875
2006-05-22,104.11111111111111,78.44444444444444
2006-05-23,51.25,44.875
2006-05-24,57.5,49.5
2006-05-25,49.875,44.125
2006-05-26,51.375,45.25
2006-05-27,48.625,44.75
2006-05-28,43.0,39.75
2006-05-29,37.375,34.375
2006-05-30,55.875,48.75
2006-05-31,63.0,53.625
2006-06-01,74.0,59.375
2006-06-02,93.5,69.875
2006-06-03,52.375,46.875
2006-06-04,46.375,42.75
2006-06-05,57.0,50.375
2006-06-06,110.875,78.75
2006-06-07,65.125,55.375
2006-06-08,29.875,27.625
2006-06-09,36.875,34.0
2006-06-10,28.0,26.0
2006-06-11,26.125,24.25
2006-06-12,57.5,48.5
2006-06-13,62.25,52.0
2006-06-14,47.375,42.125
2006-06-15,69.0,56.5
2006-06-16,49.75,44.625
2006-06-17,40.125,37.125
2006-06-18,38.25,35.375
2006-06-19,60.375,52.25
2006-06-20,57.625,49.0
2006-06-21,54.5,47.5
2006-06-22,59.625,51.5
2006-06-23,70.875,58.5
2006-06-24,91.44444444444444,71.22222222222223
2006-06-25,112.25,79.25
2006-06-26,103.75,75.125
2006-06-27,59.125,49.625
2006-06-28,44.125,40.375
2006-06-29,57.25,49.75
2006-06-30,68.75,57.0
2006-07-01,51.0,45.875
2006-07-02,31.125,28.75
2006-07-03,32.25,30.0
2006-07-04,32.875,30.25
2006-07-05,60.375,51.375
2006-07-06,36.125,33.25
2006-07-07,36.125,33.375
2006-07-08,20.0,18.5
2006-07-09,23.5,21.75
2006-07-10,42.125,38.625
2006-07-11,45.125,40.5
2006-07-12,44.75,39.75
2006-07-13,45.75,40.875
2006-07-14,60.0,51.625
2006-07-15,78.0,62.125
2006-07-16,80.5,63.375
2006-07-17,51.375,46.5
2006-07-18,78.125,62.375
2006-07-19,38.75,36.0
2006-07-20,37.875,35.125
2006-07-21,80.71428571428571,62.857142857142854
2006-07-22,45.714285714285715,41.285714285714285
2006-07-23,47.42857142857143,42.857142857142854
2006-07-24,42.714285714285715,39.285714285714285
2006-07-25,59.5,51.375
2006-07-26,22.5,20.875
2006-07-27,23.75,22.0
2006-07-28,20.75,19.25
2006-07-29,19.25,18.0
2006-07-30,15.375,14.375
2006-07-31,22.5,21.0
2006-08-01,24.125,22.25
2006-08-02,27.0,25.0
2006-08-03,46.25,41.375
2006-08-04,27.25,25.375
2006-08-05,28.125,25.875
2006-08-06,29.125,26.875
2006-08-07,34.125,31.375
2006-08-08,39.75,36.5
2006-08-09,58.5,51.5
2006-08-10,53.0,46.5
2006-08-11,35.375,32.5
2006-08-12,17.25,16.0
2006-08-13,19.125,17.75
2006-08-14,39.375,36.5
2006-08-15,25.25,23.625
2006-08-16,31.125,28.875
2006-08-17,49.375,45.125
2006-08-18,49.25,44.375
2006-08-19,40.125,37.0
2006-08-20,23.875,22.0
2006-08-21,66.875,55.0
2006-08-22,24.5,22.875
2006-08-23,25.375,23.625
2006-08-24,28.25,26.125
2006-08-25,26.0,24.125
2006-08-26,27.875,25.75
2006-08-27,31.125,28.875
2006-08-28,51.375,45.75
2006-08-29,52.25,46.75
2006-08-30,55.875,49.375
2006-08-31,42.125,39.0
2006-09-01,51.5,46.125
2006-09-02,45.125,40.25
2006-09-03,14.5,13.375
2006-09-04,10.5,9.5
2006-09-05,21.75,20.125
2006-09-06,24.0,22.25
2006-09-07,25.125,23.25
2006-09-08,19.125,17.75
2006-09-09,24.25,22.5
2006-09-10,21.125,19.625
2006-09-11,36.25,33.5
2006-09-12,65.25,54.625
2006-09-13,29.625,27.375
2006-09-14,43.75,39.125
2006-09-15,28.375,26.125
2006-09-16,34.5,32.0
2006-09-17,35.375,32.625
2006-09-18,51.375,45.625
2006-09-19,60.0,50.625
2006-09-20,57.5,49.125
2006-09-21,47.0,41.75
2006-09-22,61.0,51.625
2006-09-23,41.75,38.75
2006-09-24,33.75,31.25
2006-09-25,60.75,51.375
2006-09-26,58.5,50.125
2006-09-27,61.25,50.875
2006-09-28,69.75,57.0
2006-09-29,78.75,61.875
2006-09-30,63.875,53.5
2006-10-01,43.75,40.5
2006-10-02,61.875,52.5
2006-10-03,57.0,47.875
2006-10-04,61.125,51.125
2006-10-05,79.5,62.75
2006-10-06,39.0,35.857142857142854
2006-10-07,53.285714285714285,48.285714285714285
2006-10-08,36.0,33.333333333333336
2006-10-09,23.571428571428573,22.0
2006-10-10,35.857142857142854,33.285714285714285
2006-10-11,48.142857142857146,43.714285714285715
