Date,Daily Mean PM10 Concentration,Daily AQI Value
2006-01-01,47.6,43.8
2006-01-02,48.6,44.0
2006-01-03,53.4,47.2
2006-01-04,86.4,66.6
2006-01-05,88.0,66.6
2006-01-06,83.4,64.0
2006-01-07,64.0,53.6
2006-01-08,59.8,52.4
2006-01-09,92.0,69.2
2006-01-10,104.8,75.6
2006-01-11,102.0,74.2
2006-01-12,108.2,77.4
2006-01-13,111.2,78.8
2006-01-14,94.2,70.4
2006-01-15,62.6,52.0
2006-01-16,40.2,37.0
2006-01-17,84.8,65.6
2006-01-18,96.0,71.2
2006-01-19,112.2,79.2
2006-01-20,67.2,54.8
2006-01-21,66.0,55.6
2006-01-22,47.2,42.8
2006-01-23,80.0,63.2
2006-01-24,95.8,69.8
2006-01-25,81.0,63.2
2006-01-26,80.4,62.6
2006-01-27,72.4,58.6
2006-01-28,45.2,41.0
2006-01-29,41.8,37.4
2006-01-30,81.2,63.8
2006-01-31,85.6,66.0
2006-02-01,78.4,60.6
2006-02-02,76.2,59.6
2006-02-03,91.8,68.8
2006-02-04,71.0,58.2
2006-02-05,67.2,56.6
2006-02-06,88.6,67.4
2006-02-07,77.0,60.2
2006-02-08,94.6,68.8
2006-02-09,115.2,80.8
2006-02-10,80.6,63.0
2006-02-11,68.8,55.2
2006-02-12,49.2,43.2
2006-02-13,103.4,75.0
2006-02-14,130.8,88.6
2006-02-15,143.0,94.8
2006-02-16,91.4,69.2
2006-02-17,118.0,82.2
2006-02-18,68.2,57.4
2006-02-19,29.4,27.2
2006-02-20,49.2,43.4
2006-02-21,63.0,53.2
2006-02-22,67.0,55.8
2006-02-23,83.0,64.8
2006-02-24,84.2,65.4
2006-02-25,65.4,55.4
2006-02-26,55.8,50.6
2006-02-27,90.6,68.4
2006-02-28,78.8,62.0
2006-03-01,43.8,38.2
2006-03-02,69.8,57.0
2006-03-03,67.8,56.4
2006-03-04,52.6,47.6
2006-03-05,50.2,45.4
2006-03-06,80.4,63.0
2006-03-07,88.6,67.6
2006-03-08,66.2,55.0
2006-03-09,43.8,39.4
2006-03-10,163.8,105.0
2006-03-11,10.4,9.4
2006-03-12,8.2,7.4
2006-03-13,18.0,16.6
2006-03-14,33.0,30.4
2006-03-15,33.8,31.2
2006-03-16,42.4,38.0
2006-03-17,38.0,34.0
2006-03-18,25.6,23.8
2006-03-19,12.6,11.6
2006-03-20,16.0,14.8
2006-03-21,23.4,21.6
2006-03-22,25.0,23.0
2006-03-23,41.8,37.8
2006-03-24,49.8,44.4
2006-03-25,31.2,28.8
2006-03-26,19.2,17.8
2006-03-27,35.0,32.4
2006-03-28,33.0,30.6
2006-03-29,37.6,33.6
2006-03-30,31.6,29.2
2006-03-31,34.6,32.0
2006-04-01,20.4,18.8
2006-04-02,25.2,23.4
2006-04-03,48.2,43.4
2006-04-04,58.6,49.2
2006-04-05,66.0,55.8
2006-04-06,27.2,25.2
2006-04-07,45.2,41.0
2006-04-08,37.8,34.8
2006-04-09,31.2,28.6
2006-04-10,38.8,35.8
2006-04-11,43.4,39.6
2006-04-12,48.6,43.2
2006-04-13,64.2,54.0
2006-04-14,229.0,137.8
2006-04-15,172.2,108.0
2006-04-16,37.8,35.2
2006-04-17,48.6,43.0
2006-04-18,48.4,42.8
2006-04-19,47.0,42.2
2006-04-20,54.2,48.0
2006-04-21,67.6,56.4
2006-04-22,63.0,53.8
2006-04-23,32.0,29.8
2006-04-24,40.4,37.4
2006-04-25,57.2,50.0
2006-04-26,60.2,51.4
2006-04-27,49.2,43.2
2006-04-28,29.4,27.2
2006-04-29,34.6,32.0
2006-04-30,35.8,33.2
2006-05-01,43.2,39.0
2006-05-02,47.0,41.4
2006-05-03,53.8,45.6
2006-05-04,50.0,43.2
2006-05-05,44.8,40.6
2006-05-06,41.6,38.6
2006-05-07,32.0,29.6
2006-05-08,49.4,44.2
2006-05-09,56.0,48.4
2006-05-10,60.6,51.8
2006-05-11,74.8,60.4
2006-05-12,67.6,56.8
2006-05-13,43.0,39.6
2006-05-14,38.0,35.2
2006-05-15,84.2,65.4
2006-05-16,97.8,72.2
2006-05-17,52.0,45.8
2006-05-18,54.4,47.6
2006-05-19,50.2,44.6
2006-05-20,36.4,33.8
2006-05-21,52.2,47.2
2006-05-22,111.8,79.0
2006-05-23,53.6,47.0
2006-05-24,57.8,50.2
2006-05-25,53.4,47.0
2006-05-26,54.4,47.4
2006-05-27,50.4,46.2
2006-05-28,43.8,40.4
2006-05-29,40.4,37.2
2006-05-30,58.0,50.6
2006-05-31,66.4,56.0
2006-06-01,76.2,61.0
2006-06-02,100.4,73.4
2006-06-03,56.2,49.6
2006-06-04,48.6,44.6
2006-06-05,59.4,52.0
2006-06-06,117.0,81.8
2006-06-07,69.4,57.8
2006-06-08,33.2,30.8
2006-06-09,39.2,36.0
2006-06-10,30.0,27.8
2006-06-11,27.6,25.6
2006-06-12,63.6,52.8
2006-06-13,69.6,56.6
2006-06-14,52.0,45.2
2006-06-15,77.8,62.0
2006-06-16,56.0,49.6
2006-06-17,42.6,39.4
2006-06-18,39.8,36.8
2006-06-19,63.4,54.4
2006-06-20,65.8,54.4
2006-06-21,57.0,49.6
2006-06-22,62.0,53.6
2006-06-23,74.8,60.6
2006-06-24,95.4,71.0
2006-06-25,117.0,81.6
2006-06-26,105.8,76.2
2006-06-27,66.4,54.0
2006-06-28,47.4,43.2
2006-06-29,62.8,53.2
2006-06-30,75.4,60.8
2006-07-01,54.2,48.2
2006-07-02,31.8,29.2
2006-07-03,32.6,30.4
2006-07-04,33.8,31.0
2006-07-05,66.0,54.8
2006-07-06,38.2,35.0
2006-07-07,38.6,35.6
2006-07-08,20.8,19.2
2006-07-09,24.0,22.2
2006-07-10,45.8,41.8
2006-07-11,50.4,44.6
2006-07-12,51.6,45.0
2006-07-13,51.2,45.0
2006-07-14,65.4,55.4
2006-07-15,86.6,66.6
2006-07-16,83.8,65.0
2006-07-17,54.0,48.2
2006-07-18,80.4,63.6
2006-07-19,43.0,40.0
2006-07-20,41.4,38.4
2006-07-21,92.25,69.5
2006-07-22,51.5,46.0
2006-07-23,54.5,48.5
2006-07-24,47.0,43.0
2006-07-25,63.8,53.6
2006-07-26,23.0,21.4
2006-07-27,24.4,22.6
2006-07-28,22.0,20.2
2006-07-29,19.8,18.4
2006-07-30,15.2,14.2
2006-07-31,24.0,22.4
2006-08-01,24.8,22.8
2006-08-02,28.6,26.4
2006-08-03,49.4,43.4
2006-08-04,28.8,26.8
2006-08-05,31.0,28.6
2006-08-06,29.6,27.4
2006-08-07,35.8,32.8
2006-08-08,43.4,39.6
2006-08-09,57.8,50.6
2006-08-10,56.2,48.6
2006-08-11,39.2,36.0
2006-08-12,19.0,17.6
2006-08-13,19.2,17.8
2006-08-14,43.0,39.8
2006-08-15,25.8,24.2
2006-08-16,32.6,30.2
2006-08-17,49.4,45.2
2006-08-18,51.4,46.0
2006-08-19,40.2,37.0
2006-08-20,24.8,22.8
2006-08-21,73.4,58.4
2006-08-22,26.0,24.2
2006-08-23,26.4,24.6
2006-08-24,31.4,29.0
2006-08-25,27.0,25.0
2006-08-26,29.2,27.0
2006-08-27,33.4,31.0
2006-08-28,53.4,47.6
2006-08-29,52.8,47.4
2006-08-30,60.0,52.2
2006-08-31,44.2,40.8
2006-09-01,55.4,49.4
2006-09-02,50.4,44.2
2006-09-03,15.8,14.6
2006-09-04,9.6,8.6
2006-09-05,23.0,21.2
2006-09-06,26.2,24.4
2006-09-07,27.8,25.8
2006-09-08,21.2,19.6
2006-09-09,24.4,22.6
2006-09-10,19.6,18.2
2006-09-11,37.2,34.4
2006-09-12,69.4,57.2
2006-09-13,33.0,30.4
