Year,Day of Year,Station Number,Air Temp - Max,Air Temp - Min,Air Temp - Mean,RH - Max,RH - Min,RH - Mean,VPD - Mean,Solar Rad. - Total,Precipitation - Total,"2"" Soil Temp - Max","2"" Soil Temp - Min","2"" Soil Temp - Mean","4"" Soil Temp - Max","4"" Soil Temp - Min","4"" Soil Temp - Mean",Wind Speed - Mean,Wind Vector Magnitude,Wind Vector Direction,Wind Direction Std Dev,Max Wind Speed,Reference ET,Heat Units
2000,1,6,16.7,3.2,10.2,79.1,37.3,55.7,.6,12.94,0,14.2,7.7,10.6,11.9,11.6,11.7,2.3,1.5,247,50,7.3,2.6,.9
2000,2,6,14.3,1.8,7.4,98.4,32.7,64,.4,8.9,0,11.4,6.9,8.7,11.8,11.3,11.6,3.1,2.1,231,46,9.2,1.7,.2
2000,3,6,14.3,-3.7,4.9,100,23.3,57.3,.5,13.76,0,17.8,3.7,8.9,12.2,9.7,11.2,1.1,.5,1,60,4.9,2.2,.2
2000,4,6,18.2,-3.3,6.6,83.5,12.8,42.3,.7,13.76,0,11,4.5,7.6,11.5,10.9,11.2,1.5,.8,1,54,7.4,2.7,1.2
2000,5,6,18.4,-2.6,6.9,81.7,15.6,43.1,.7,13.82,0,11.8,3.8,7.2,11.1,10.5,10.7,1.1,.6,201,52,3.4,2.4,1.3
2000,6,6,17.1,-3.4,6.4,84.4,13.3,40.1,.7,13.93,0,10.8,3.5,6.7,10.8,10.2,10.5,2,1.2,1,52,9,3.1,.9
2000,7,6,17.8,-1.5,7.9,78.3,18.4,38,.8,13.95,0,11.8,3.2,7,10.4,9.9,10.1,1.3,.4,47,66,4.6,2.7,1.1
2000,8,6,18.3,-3.5,6.1,79.8,21.5,47.7,.6,13.95,0,12,3.3,7.2,10.3,9.8,10,.9,.5,188,54,3.4,2.3,1.2
2000,9,6,18.3,-3.7,5.9,81,17.6,48.6,.6,14.05,0,11.9,3.3,7.2,10.2,9.7,9.9,1.1,.3,162,70,3.4,2.3,1.2
2000,10,6,21.4,-3.3,7.5,83.3,13.8,42.8,.8,14.06,0,12.6,3.7,7.7,10.2,9.6,9.9,.8,.1,168,77,3.2,2.4,2.3
2000,11,6,21.9,-2.2,8.5,73.6,13.7,41.4,.8,14.16,0,13.1,4.2,8.3,10.3,9.7,10,.9,.5,167,58,3.4,2.5,2.5
2000,12,6,22.8,-.8,9.8,85.3,15.2,42.9,.9,14.16,0,14,5,9,10.4,9.9,10.1,.8,.2,157,73,3,2.6,3
2000,13,6,24.4,0,10.8,81.8,17.6,44.6,.9,13.98,0,14.2,5.4,9.5,10.7,10.1,10.3,1,.2,351,72,3.9,2.8,3.6
2000,14,6,26.2,1.1,11.6,77.5,15,48.6,.9,11.19,0,13.8,6.1,9.7,10.9,10.3,10.5,1,.5,162,58,3.5,2.1,4.5
2000,15,6,26.2,1.9,12.5,76.6,14.6,41.4,1.1,12.61,0,15,6.2,10.2,11,10.4,10.7,1.2,.6,174,59,4.1,2.7,4.5
2000,16,6,25.6,2,12.9,81.5,11.8,38.8,1.2,13.4,0,15.2,6.8,10.9,11.2,10.7,10.9,1.2,.3,280,69,3.6,2.9,4.2
2000,17,6,25.9,6.1,15.4,71.1,12.7,36.3,1.3,12.77,0,16.4,9,12.4,11.7,11.1,11.3,1,.1,324,78,3.6,2.8,4.9
2000,18,6,26,8.8,16.3,71,19.4,39.7,1.2,10.56,0,16.7,10.6,13.3,12.2,11.7,11.9,.9,.5,177,55,3.4,2.2,5.5
2000,19,6,25.8,6,14.9,81,21.3,44.7,1.1,13.48,0,17.6,9.7,13.2,12.5,12,12.2,1,.2,156,71,4,2.8,4.9
2000,20,6,25.6,6.4,14.6,83.1,28.6,51.8,.9,12.9,0,18,9.8,13.6,15,12.2,13,1,.4,154,61,3.4,2.5,4.9
2000,21,6,24,7.8,15.2,85.1,37,56.8,.8,9.35,0,16,10.7,13.1,13.6,12.9,13.2,1.1,.4,226,66,4.8,1.8,4.3
2000,22,6,23.2,5.8,14.4,81.1,30.8,59.8,.8,9.969999,0,16.2,10.8,12.8,13.2,12.8,13,1.4,.8,170,54,7.6,1.8,3.7
2000,23,6,24.2,2.2,11.5,85,19.3,56.5,.8,14.45,0,15.8,7.5,11.4,13.1,12.5,12.8,.9,.3,174,67,3.2,2.5,3.7
2000,24,6,24.4,8.1,14.6,70.6,17.5,44.4,1.1,13.14,0,16.7,9.6,12.5,13,12.5,12.8,1.1,.4,161,64,3.8,2.8,4.5
2000,25,6,26.5,5.7,16.6,69.4,22.5,40.9,1.3,14.69,0,18.2,9.5,13.7,13.3,12.7,12.9,1.1,.4,323,64,3.8,3.3,5.1
2000,26,6,21.1,11.3,15.9,69.3,20.9,44.1,1.1,13.2,0,17.6,12.3,14.5,13.6,13.3,13.4,3,2.4,237,39,9.7,3.8,3.7
2000,27,6,19.7,1.5,10.7,77,16.6,43.1,.8,15.92,0,16.8,8.6,12.3,13.8,13.1,13.4,1.8,.9,210,59,7,3.3,1.9
2000,28,6,19.7,-.2,9.5,71.1,16,37.7,.9,15.79,0,19.1,7.2,12,14.6,12.2,13.3,1.8,1,189,56,4.3,3.3,1.8
2000,29,6,20.8,.3,9.8,67.9,10.8,35.6,.9,16.05,0,15.3,7.3,11.1,13.5,12.7,13.1,1.3,.2,108,73,4.4,3.2,2.2
2000,30,6,21.6,3.9,12.8,54.6,8.5,25.6,1.2,14.97,0,15,7.7,11,13.1,12.5,12.8,2.1,1.1,203,55,5.6,3.7,2.8
2000,31,6,20.1,6.1,13,69.7,22.5,37,1,11.67,0,15.3,8.7,11.6,13,12.5,12.7,2.2,1.3,202,52,6.2,2.9,2.4
2000,32,6,20.8,.6,10.8,82.1,11.5,41.1,.9,16.46,0,15.7,7.4,11.2,13,12.3,12.6,2.2,1.2,4,54,8.5,3.9,2.3
2000,33,6,21.4,1.7,11.3,62.3,13.1,33.7,1,16.57,0,15.9,6.9,11,12.9,12.1,12.5,2.2,1.5,67,45,7.8,4.1,2.6
2000,34,6,25,.3,11.7,61.9,7.1,28.7,1.2,16.05,0,16.2,6.7,11.2,12.8,11.9,12.3,1.5,.5,199,67,5.2,3.6,3.9
2000,35,6,24.8,.6,11.7,55.7,7.4,26.4,1.2,16.6,0,16.6,6.9,11.4,12.7,12,12.3,1.7,.3,269,74,4.4,3.9,3.8
2000,36,6,24.4,1.2,12.6,54.8,9.2,28,1.2,16.02,0,16.9,7.5,11.9,12.7,12,12.4,1.5,.6,231,64,4.1,3.7,3.7
2000,37,6,25.6,2,12.9,64.1,11.2,31.1,1.2,16.83,0,17.7,8.1,12.5,12.9,12.2,12.5,1.6,.2,239,75,4.1,3.9,4.2
2000,38,6,27.4,1.4,13.4,63.4,8.6,30.7,1.3,16.23,0,17.4,7.9,12.3,13,12.2,12.6,1.5,.5,7,68,5,3.9,5
2000,39,6,26.2,3.2,14.7,67.7,8.5,29.5,1.4,10.47,0,16.2,8.8,12.4,13.1,12.4,12.7,1.6,.2,262,76,4.1,2.7,4.6
2000,40,6,27,6.8,17,43.1,11.4,25.5,1.6,16.69,0,19.3,10,14.3,13.2,12.6,12.9,2.2,1.2,197,54,5.6,4.6,5.5
2000,41,6,24.5,7.7,16.3,49.6,19.2,31.4,1.4,17.61,0,19.6,10.8,14.7,13.6,13,13.3,2.4,1.2,199,56,6,4.7,4.6
2000,42,6,21.3,7.3,14.3,71.2,24.5,44.5,1,17.73,0,19.3,10.6,14.4,13.9,13.3,13.6,2,1.3,212,49,5.6,3.9,3
2000,43,6,22.3,6.6,14.3,62.8,20.2,40.3,1.1,15.14,0,18,10.5,13.8,14,13.4,13.7,3.1,1.8,226,53,10.6,4.3,3.4
2000,44,6,19.1,7.3,13.7,68.7,28.8,46.4,.9,12.69,0,17.1,10.9,13.9,14,13.5,13.7,2.1,1.2,226,55,5.9,2.8,2.1
2000,45,6,24.1,4.6,13.6,70.7,26.3,47.3,1,16.56,0,19.1,9.7,14,14,13.2,13.6,1.4,.3,176,72,3.8,3.4,3.9
2000,46,6,26.6,4.3,13.9,73.5,18.4,47.2,1.1,18.52,0,20,9.7,14.4,14.1,13.3,13.7,1.4,.3,168,70,4,3.9,5
2000,47,6,20.5,3.7,12.6,69.2,20.6,43.5,.9,8.49,0,15.3,9.9,12.9,14.3,13.6,13.9,1.7,.1,194,78,5.2,1.8,2.3
2000,48,6,18.6,5.1,14,56,17,37,1,18.87,0,18.2,11.4,13.9,14,13.5,13.7,3.5,3.2,249,22,9.6,4.9,1.7
2000,49,6,19.8,.2,9.9,73.6,17.5,41.1,.9,15.01,0,16.9,7.9,12.2,14,13.2,13.6,1.4,.2,246,74,4.8,3,1.9
2000,50,6,24.1,2.4,12.5,62,12.3,35,1.1,14.69,0,17.4,8.4,12.5,13.7,12.9,13.3,1.5,.2,104,77,3.4,3.2,3.7
2000,51,6,28.6,7.9,16.9,63.4,12.4,35.7,1.4,14.11,0,18.8,10.6,14.3,13.7,13.1,13.4,3.6,2.8,188,40,15.3,5.1,6.4
2000,52,6,24.5,9.9,17.1,82.8,25.6,56,1,13.65,0,19.5,13.7,16,14.2,13.6,13.9,4.3,3,187,44,13.3,4.3,5
2000,53,6,19.8,7.3,13.1,93.1,28.2,64.1,.6,15.66,0,19.4,12.1,15.2,14.6,14.1,14.3,1.8,.7,229,62,5.7,2.9,2.4
2000,54,6,22,3.4,12.9,84.9,25.6,52.3,.9,13.66,0,17.5,9.8,13.8,14.6,13.9,14.2,1.6,.2,138,75,4.7,2.6,3
2000,55,6,16.9,6.5,13.3,58.1,20.2,39.3,.9,17.38,0,19,12.4,15.1,14.4,14.2,14.3,3.5,2.9,243,33,7.8,4.4,1.2
2000,56,6,17.9,2.5,9.6,57,21.4,39.9,.8,18.55,0,21,8.6,13.7,16.3,13.5,14.6,2.6,1.4,217,55,7.5,4.1,1.3
2000,57,6,21.1,-.5,10.2,75,14.3,40.2,.9,18.14,0,16.6,8.3,12.4,14.8,13.9,14.4,1.4,.2,141,74,3.8,3.5,2.3
2000,58,6,26.8,.7,13.6,70.1,9.4,31.3,1.4,20.62,0,17.6,7.8,12.2,14.3,13.5,13.9,2,.5,204,70,6.4,5.1,4.7
