Date,MARICOPA,PIMA,PINAL
1990_0,1,0,0
1990_1,7,3,0
1990_2,0,2,0
1990_3,4,0,0
1990_4,1,0,0
1990_5,6,2,0
1990_6,2,0,0
1990_7,2,3,0
1990_8,2,0,0
1990_9,1,2,0
1990_10,2,1,0
1990_12,5,1,0
1990_13,3,0,0
1990_14,4,0,0
1990_15,1,0,0
1990_16,2,1,0
1990_17,3,6,0
1990_18,3,0,0
1990_19,2,1,0
1990_20,3,2,0
1990_21,0,5,0
1990_22,2,0,1
1990_23,3,2,0
1990_24,0,0,1
1990_25,3,4,0
1990_26,3,1,0
1990_27,1,3,0
1990_28,2,0,0
1990_29,1,0,0
1990_30,2,1,0
1990_32,2,0,2
1990_33,2,1,0
1990_34,2,0,0
1990_35,2,0,1
1990_36,2,1,0
1990_37,3,0,1
1990_38,1,1,0
1990_39,4,0,0
1990_40,5,0,0
1990_41,3,1,0
1990_42,2,0,0
1990_43,5,1,0
1990_44,1,1,0
1990_45,1,0,0
1990_46,1,1,0
1990_47,0,2,0
1990_48,0,4,0
1990_49,7,2,0
1990_50,4,0,1
1990_52,5,0,0
1991_1,0,2,2
1991_2,1,0,0
1991_3,9,4,0
1991_4,3,0,0
1991_5,5,1,0
1991_6,1,0,0
1991_7,5,0,0
1991_8,5,0,0
1991_9,2,0,0
1991_10,2,0,0
1991_11,2,3,0
1991_13,7,4,1
1991_14,2,0,0
1991_15,2,0,0
1991_16,1,0,0
1991_17,2,0,2
1991_18,7,4,0
1991_19,5,0,0
1991_20,2,0,0
1991_21,4,3,0
1991_22,3,1,0
1991_23,2,0,0
1991_24,2,0,0
1991_25,3,4,0
1991_26,2,0,0
1991_27,5,0,1
1991_28,6,2,0
1991_29,3,5,0
1991_30,2,0,0
1991_31,5,0,0
1991_32,2,0,0
1991_33,1,0,0
1991_34,5,0,1
1991_35,1,12,0
1991_36,4,0,1
1991_37,5,0,0
1991_38,8,0,0
1991_39,4,4,0
1991_40,1,0,0
1991_41,4,0,0
1991_43,9,0,2
1991_44,4,3,0
1991_45,8,0,0
1991_46,3,0,0
1991_47,5,0,1
1991_48,3,9,0
1991_49,15,0,3
1991_50,8,0,0
1991_51,5,0,2
1992_1,3,13,1
1992_2,9,0,1
1992_4,7,0,0
1992_5,6,5,1
1992_6,11,0,0
1992_8,2,0,0
1992_9,0,5,2
1992_10,11,0,2
1992_11,5,5,2
1992_12,2,0,0
1992_13,3,0,0
1992_14,1,0,0
1992_15,6,1,1
1992_16,0,0,0
1992_17,3,0,1
1992_18,0,0,0
1992_20,10,0,2
1992_22,5,0,0
1992_23,2,4,1
1992_24,6,0,2
1992_25,1,0,0
1992_26,5,0,0
1992_27,3,4,0
1992_28,1,0,0
1992_29,1,0,0
1992_31,10,0,0
1992_32,11,19,3
1992_33,7,0,0
1992_34,6,0,0
1992_35,9,0,1
1992_36,1,11,0
1992_37,11,0,0
1992_38,3,0,0
1992_39,5,7,1
1992_40,7,0,0
1992_41,5,0,0
1992_42,5,0,1
1992_43,0,0,2
1992_44,2,13,1
1992_45,0,0,0
1992_46,29,1,0
1992_47,0,0,0
1992_48,26,1,0
1992_49,30,7,3
1992_51,0,0,1
1992_52,11,0,2
1993_1,1,15,1
1993_2,28,1,0
1993_3,10,0,1
1993_4,12,0,4
1993_5,12,21,1
1993_6,12,0,1
1993_8,4,0,0
1993_9,9,14,1
1993_10,0,0,1
1993_11,18,0,0
1993_12,4,0,0
1993_13,1,0,0
1993_14,14,20,1
1993_15,10,0,1
1993_16,4,0,0
1993_17,4,0,0
1993_18,5,10,0
1993_19,5,0,0
1993_20,7,0,0
1993_22,2,0,0
1993_23,9,7,1
1993_24,6,0,0
1993_25,3,0,1
1993_26,4,0,0
1993_27,0,11,1
1993_28,13,1,1
1993_29,4,0,0
1993_30,3,0,1
1993_31,1,13,0
1993_32,8,0,1
1993_33,7,0,1
1993_34,1,1,1
1993_35,0,9,1
1993_38,22,0,1
1993_39,6,1,0
1993_40,22,20,1
1993_41,3,0,0
1993_42,5,0,2
1993_43,10,1,1
1993_44,7,8,0
1993_46,8,0,0
1993_47,1,0,0
1993_48,11,15,0
1993_50,10,0,0
1993_52,14,1,1
1994_1,5,16,4
1994_2,2,0,0
1994_3,0,0,1
1994_4,2,0,0
1994_5,6,14,3
1994_6,17,0,1
1994_7,1,0,0
1994_8,5,0,1
1994_9,7,0,0
1994_10,0,12,0
1994_11,7,0,1
1994_12,1,0,0
1994_14,1,11,0
1994_17,1,1,0
1994_18,0,5,1
1994_19,40,0,2
1994_20,15,0,1
1994_21,7,0,3
1994_22,5,0,1
1994_23,11,8,0
1994_24,3,0,0
1994_25,7,0,1
1994_26,6,0,1
1994_28,2,18,0
1994_29,7,0,1
1994_30,12,0,0
1994_31,9,0,2
1994_32,2,8,0
1994_33,10,0,1
1994_34,11,1,0
1994_35,12,0,1
1994_36,4,10,1
1994_37,11,0,0
1994_38,8,0,0
1994_39,16,0,2
1994_40,0,18,1
1994_41,12,1,0
1994_44,11,19,1
1994_45,16,0,2
1994_46,5,0,0
1994_47,3,0,0
1994_49,6,15,1
1994_50,5,0,0
1994_51,13,2,0
1994_52,11,13,2
1995_2,5,0,0
1995_3,13,0,2
1995_4,10,0,0
1995_5,4,14,0
1995_6,11,0,0
1995_7,0,0,1
1995_8,4,0,0
1995_9,5,10,0
1995_10,13,0,1
1995_11,1,0,0
1995_12,9,0,0
1995_13,3,1,0
1995_14,0,17,1
1995_15,12,0,0
1995_16,1,0,0
1995_17,0,0,1
1995_18,0,6,1
1995_19,5,1,1
1995_20,12,0,0
1995_21,20,1,0
1995_22,4,0,1
1995_23,3,12,0
1995_24,8,0,0
1995_25,5,0,4
1995_26,12,0,0
1995_27,11,1,0
1995_28,6,6,1
1995_29,7,0,0
1995_30,0,0,1
1995_31,16,10,2
1995_32,9,0,0
1995_33,2,0,1
1995_34,17,0,1
1995_35,8,0,0
1995_36,9,0,0
1995_37,4,23,5
1995_38,6,0,0
1995_39,17,0,0
1995_40,1,0,0
1995_41,5,9,2
1995_42,24,0,3
1995_43,0,0,4
1995_44,0,0,0
1995_46,1,10,1
1995_47,23,0,2
1995_48,25,0,1
1995_49,10,0,3
1995_50,15,0,0
1995_51,13,19,0
1995_52,11,0,1
1996_0,0,20,0
1996_1,5,2,2
1996_2,18,0,0
1996_3,4,5,3
1996_4,1,9,0
1996_5,10,4,1
1996_6,16,0,0
1996_7,0,1,4
1996_8,13,1,0
1996_9,14,1,0
1996_10,19,6,0
1996_11,4,10,6
1996_12,14,0,0
1996_13,1,7,1
1996_14,13,1,2
1996_15,2,3,0
1996_16,6,3,0
1996_17,11,0,0
1996_18,1,0,1
1996_19,21,0,0
1996_20,0,12,1
1996_21,8,4,1
1996_22,2,2,2
1996_23,15,8,2
1996_24,2,3,0
1996_25,0,2,1
1996_26,7,0,0
1996_27,1,4,3
1996_28,11,0,0
1996_29,3,0,3
1996_30,7,3,3
1996_32,27,0,2
1996_33,13,0,0
1996_34,9,0,2
1996_35,2,0,0
1996_36,7,9,1
1996_37,17,0,1
1996_38,4,0,1
1996_39,5,1,1
1996_40,16,0,0
1996_41,2,11,0
1996_42,3,2,0
1996_43,2,0,1
1996_44,3,1,1
1996_45,1,12,0
1996_46,13,0,1
1996_47,1,1,1
1996_48,13,0,0
1996_49,8,11,1
1996_50,19,1,2
1996_51,1,0,4
1996_52,0,0,1
1997_0,9,0,1
1997_1,2,0,1
1997_2,9,1,0
1997_3,19,12,2
1997_4,1,0,0
1997_5,7,0,1
1997_6,10,11,3
1997_7,7,0,1
1997_8,6,0,0
1997_9,35,3,5
1997_10,21,0,0
1997_11,7,15,0
1997_12,17,1,0
1997_13,2,2,0
1997_14,6,0,0
1997_15,6,0,0
1997_16,3,0,0
1997_17,7,6,1
1997_18,13,0,1
1997_19,2,0,1
1997_20,12,9,1
1997_21,9,0,0
1997_22,24,0,4
1997_23,3,0,0
1997_24,10,12,3
1997_25,7,3,0
1997_26,10,0,1
1997_27,8,0,0
1997_28,3,7,1
1997_29,7,0,1
1997_30,13,1,2
1997_31,4,2,2
1997_32,5,0,4
1997_33,10,15,2
1997_34,40,1,1
1997_35,17,1,2
1997_36,3,0,0
1997_37,10,1,0
1997_38,9,12,2
1997_39,6,2,0
1997_40,15,3,1
1997_41,20,1,1
1997_42,12,1,0
1997_43,23,0,1
1997_44,8,9,2
1997_45,6,11,1
1997_46,11,2,0
1997_47,40,0,2
1997_48,2,0,1
1997_49,2,18,5
1997_50,50,1,0
1997_51,5,0,0
1997_52,5,0,0
1998_0,2,1,1
1998_1,61,0,2
1998_2,13,17,2
1998_3,22,11,2
1998_4,28,5,5
1998_5,15,5,2
1998_6,14,4,1
1998_7,7,1,3
1998_8,8,2,2
1998_9,10,0,1
1998_10,51,4,1
1998_11,32,11,1
1998_12,11,0,0
1998_13,26,1,5
1998_14,18,1,0
1998_15,11,3,1
1998_16,15,11,4
1998_17,2,2,3
1998_18,19,2,4
1998_19,29,3,1
1998_20,6,3,4
1998_21,14,1,3
1998_22,5,0,0
1998_23,6,10,0
1998_24,6,4,1
1998_25,16,5,2
1998_26,23,2,3
1998_27,26,0,1
1998_28,7,7,0
1998_29,28,4,2
1998_30,25,12,2
1998_31,11,5,0
1998_32,16,9,0
1998_33,20,7,3
1998_34,26,17,0
1998_35,26,2,0
1998_36,10,1,1
1998_37,10,6,3
1998_38,2,0,0
1998_39,6,2,0
1998_40,4,9,0
1998_41,12,0,1
1998_42,90,7,3
1998_43,17,4,1
1998_44,8,0,3
1998_45,25,11,0
1998_46,19,0,0
1998_47,26,11,0
1998_48,19,31,0
1998_49,10,7,0
1998_50,115,6,5
1998_51,68,2,1
1998_52,3,1,0
1999_0,1,0,7
1999_1,34,5,3
1999_2,58,2,1
1999_3,12,3,0
1999_4,9,6,2
1999_5,14,2,4
1999_6,31,22,1
1999_7,23,16,3
1999_8,17,0,5
1999_9,27,6,1
1999_10,23,9,0
1999_11,30,0,1
1999_12,14,0,0
1999_13,29,6,4
1999_14,9,6,0
1999_15,46,6,0
1999_16,28,2,0
1999_17,15,3,1
1999_18,24,1,1
1999_19,25,7,4
1999_20,22,7,0
1999_21,36,4,0
1999_22,24,5,0
1999_23,14,9,1
1999_24,29,11,2
1999_25,31,11,5
1999_26,27,7,1
1999_27,28,6,3
1999_28,22,10,3
1999_29,16,4,0
1999_30,23,18,0
1999_31,19,8,0
1999_32,18,6,0
1999_33,16,7,0
1999_34,20,7,2
1999_35,15,12,0
1999_36,18,2,2
1999_37,16,2,2
1999_38,9,3,0
1999_39,16,8,1
1999_40,7,8,3
1999_41,18,3,0
1999_42,17,5,0
1999_43,13,10,1
1999_44,20,12,2
1999_45,11,4,0
1999_46,20,9,0
1999_47,14,5,2
1999_48,29,6,3
1999_49,44,11,2
1999_50,53,9,1
1999_51,62,7,10
1999_52,22,5,2
2000_1,27,3,1
2000_2,48,9,0
2000_3,49,3,4
2000_4,41,16,2
2000_5,55,14,2
2000_6,23,7,1
2000_7,37,4,0
2000_8,14,4,11
2000_9,32,6,3
2000_10,35,12,5
2000_11,10,4,3
2000_12,17,2,1
2000_13,36,12,0
2000_14,21,7,2
2000_15,24,22,3
2000_16,12,1,5
2000_17,30,7,5
2000_18,27,16,2
2000_19,19,1,1
2000_20,16,14,1
2000_21,33,3,3
2000_22,23,5,1
2000_23,48,17,0
2000_24,22,8,2
2000_25,23,9,1
2000_26,22,9,1
2000_27,48,11,1
2000_28,16,4,5
2000_29,36,6,0
2000_30,6,4,0
2000_31,29,6,2
2000_32,26,4,2
2000_33,28,5,1
2000_34,24,5,3
2000_35,28,5,2
2000_36,23,4,0
2000_37,27,4,0
2000_38,8,4,1
2000_39,4,2,1
2000_40,68,14,3
2000_41,20,6,2
2000_42,16,3,4
2000_43,19,5,2
2000_44,25,6,2
2000_45,15,3,1
2000_46,34,5,2
2000_47,17,3,0
2000_48,39,7,0
2000_49,19,6,6
2000_50,30,6,3
2000_51,23,6,0
2000_52,13,0,1
2001_0,12,9,0
2001_1,18,6,1
2001_2,27,7,1
2001_3,33,2,2
2001_4,24,5,1
2001_5,21,12,3
2001_6,6,1,4
2001_7,21,3,1
