,feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
7,7,0.5034973,0.011541566,0.022922795,0.4809332,0.5304875,"20"" Soil Temp - Max (0)"
195,195,0.50296146,0.011751781,0.023365172,0.47517627,0.5502008,Daily Mean PM10 Concentration (-6)
120,120,0.5027973,0.011770016,0.023409067,0.48097047,0.530648,RH - Min (-1)
142,142,0.50273585,0.012928854,0.025716992,0.47573292,0.5367434,Solar Rad. - Total (-2)
169,169,0.5025254,0.012670363,0.02521338,0.47452,0.53190476,Wind Vector Direction (-1)
106,106,0.50233555,0.01218244,0.024251597,0.47217053,0.5301055,RH - Max (-1)
168,168,0.5023191,0.010670655,0.021242782,0.4772699,0.53522617,Wind Vector Direction (0)
1,1,0.50231874,0.012552116,0.02498835,0.46512246,0.52912974,MARICOPA (-1)
126,126,0.50209177,0.013775274,0.02743577,0.4682591,0.5433486,Reference ET (0)
14,14,0.5019517,0.01221447,0.024333954,0.4682718,0.53710306,"20"" Soil Temp - Mean (0)"
155,155,0.5018653,0.011572557,0.023059087,0.46993318,0.52597606,Wind Direction Std Dev (-1)
166,166,0.5018504,0.0121714985,0.02425324,0.4760742,0.5396019,Wind Speed - Mean (-5)
51,51,0.5018496,0.011588325,0.02309123,0.4782261,0.5326424,Actual Vapor Pressure - Daily Mean (-2)
111,111,0.501828,0.013410647,0.026723593,0.46217477,0.53686374,RH - Max (-6)
33,33,0.50177175,0.012100404,0.024115356,0.4750193,0.5334227,"4"" Soil Temp - Max (-5)"
9,9,0.5017117,0.010905089,0.021735767,0.47337595,0.5413822,"20"" Soil Temp - Max (-2)"
32,32,0.50163484,0.011321828,0.02256986,0.47485703,0.5328954,"4"" Soil Temp - Max (-4)"
171,171,0.50163156,0.012259925,0.024440099,0.4744881,0.539356,Wind Vector Direction (-3)
83,83,0.5016003,0.01135359,0.022634733,0.47595847,0.5270831,Dewpoint - Daily Mean (-6)
