,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47,seed_48,seed_49,seed_50,seed_51,seed_52,seed_53,seed_54,seed_55,seed_56,seed_57,seed_58,seed_59,seed_60,seed_61,seed_62,seed_63,seed_64,seed_65,seed_66,seed_67,seed_68,seed_69,seed_70,seed_71,seed_72,seed_73,seed_74,seed_75,seed_76,seed_77,seed_78,seed_79,seed_80,seed_81,seed_82,seed_83,seed_84,seed_85,seed_86,seed_87,seed_88,seed_89,seed_90,seed_91,seed_92,seed_93,seed_94,seed_95,seed_96,seed_97,seed_98,seed_99
0,0.51330256,0.48459023,0.5021957,0.50185305,0.4934495,0.4898978,0.4884004,0.48113212,0.50425816,0.4736091,0.5013645,0.5146252,0.524349,0.51177794,0.49821982,0.49781966,0.5273238,0.515435,0.48195335,0.4976355,0.49366003,0.515707,0.520534,0.49471062,0.500603,0.49414656,0.49386957,0.48245338,0.515535,0.48267508,0.5148451,0.49098936,0.50902724,0.4906565,0.49902207,0.49540913,0.5121637,0.4875254,0.48365337,0.5082252,0.5197362,0.4843825,0.49385992,0.52007776,0.5212305,0.5081512,0.49737304,0.4789588,0.5059969,0.4988995,0.5051863,0.49051803,0.49413636,0.4820055,0.49900076,0.4949883,0.49699673,0.49633268,0.52515835,0.49181697,0.5033157,0.49937958,0.48713654,0.5103696,0.52168524,0.48861358,0.4954978,0.51926357,0.5213775,0.48253852,0.4926887,0.46967638,0.50352544,0.5021605,0.51020503,0.5116047,0.50812304,0.49426493,0.51079494,0.49220982,0.48769322,0.5002403,0.5218563,0.5064003,0.4844211,0.524844,0.5089288,0.49230346,0.51887625,0.49833095,0.47890842,0.50255156,0.50855607,0.48700643,0.47634906,0.48994604,0.4690779,0.48907053,0.50019544,0.51356506
1,0.49619606,0.51328075,0.508088,0.51458484,0.49059802,0.49913967,0.5192165,0.4977013,0.52912974,0.50690526,0.5071736,0.5058873,0.4974122,0.4943011,0.4923215,0.51107526,0.49773496,0.5147999,0.51122344,0.48965666,0.50876826,0.5034548,0.50167036,0.51207143,0.49042976,0.46512246,0.51785934,0.5180162,0.49250165,0.52057195,0.46578845,0.49307916,0.49296522,0.49270985,0.47779557,0.50111026,0.50740117,0.5146355,0.49563837,0.5051859,0.508977,0.51870584,0.49615756,0.5160664,0.4985111,0.50563043,0.5116897,0.5206075,0.49611452,0.48458654,0.5048559,0.5073045,0.4988041,0.4852881,0.5038878,0.50219166,0.5140994,0.49706665,0.5038474,0.5068987,0.52555335,0.47895974,0.492109,0.51183677,0.5047192,0.52387244,0.49740782,0.504704,0.4950945,0.5095196,0.51360613,0.5104673,0.49665758,0.518331,0.498129,0.49925438,0.4885899,0.49877337,0.4920524,0.4931587,0.52087325,0.49365085,0.4798311,0.47931463,0.50295424,0.48023063,0.5158859,0.49295637,0.5137032,0.51442015,0.4821412,0.5041709,0.49828643,0.49468,0.49634025,0.509381,0.5258112,0.50401855,0.5086063,0.50733626
2,0.50462776,0.50355756,0.48822752,0.5043479,0.51180774,0.4819726,0.5101472,0.5031628,0.5043875,0.5304863,0.49980566,0.51071227,0.5029786,0.50118613,0.47661012,0.49534324,0.5009581,0.5018336,0.49307662,0.49689233,0.49642575,0.49992263,0.49385056,0.4873686,0.4925239,0.50314206,0.491032,0.4941909,0.4932553,0.5022431,0.51492155,0.5015049,0.510409,0.47527912,0.5235282,0.47941512,0.5189381,0.51484674,0.5063961,0.49673346,0.49451727,0.5045459,0.49521434,0.48783082,0.49585775,0.5043887,0.48031977,0.50601196,0.51138335,0.48685166,0.48925388,0.49485484,0.48743817,0.50901765,0.49762264,0.5111353,0.49074864,0.49048758,0.5070438,0.5067731,0.49498764,0.49923134,0.50350827,0.475185,0.5164639,0.5198248,0.50357264,0.48638263,0.50630647,0.49108443,0.5283469,0.51386154,0.5064263,0.51283145,0.49814138,0.51615596,0.49897903,0.4969709,0.48824787,0.4820055,0.5085973,0.5075869,0.47952428,0.48987713,0.48954648,0.4960427,0.49599573,0.49145788,0.48712716,0.5036937,0.5165541,0.50733614,0.4774909,0.50395876,0.5237503,0.49868947,0.49399906,0.5067475,0.51115865,0.49541017
3,0.5062217,0.49818265,0.49769586,0.5064244,0.49856338,0.5050415,0.49378756,0.49801213,0.5160168,0.51083773,0.4942297,0.49351013,0.51728374,0.50001454,0.49592242,0.48963803,0.4758006,0.49165443,0.5042557,0.48371607,0.49527737,0.49034142,0.48189995,0.4847669,0.48833802,0.5203521,0.5078768,0.4844408,0.5042924,0.500714,0.50839007,0.4851372,0.488084,0.48028094,0.49161714,0.49319327,0.48772037,0.5026904,0.50413775,0.50504917,0.51393694,0.51708144,0.51680034,0.5127465,0.470167,0.49189937,0.5122534,0.48775893,0.5092453,0.49903002,0.4878784,0.499511,0.5052612,0.4910758,0.50773,0.500981,0.5007345,0.5125905,0.5084915,0.51456225,0.48202756,0.52010494,0.48290682,0.5034604,0.51171905,0.51497793,0.49307698,0.50217915,0.5056804,0.49588192,0.49156085,0.5120784,0.48554474,0.49893346,0.49822947,0.50700766,0.49704343,0.48946226,0.49132663,0.4984056,0.51643926,0.48824468,0.48899925,0.5027055,0.5068671,0.4822744,0.49851704,0.48000228,0.4833111,0.54035604,0.5040401,0.49685967,0.49722987,0.5207816,0.5165599,0.48119572,0.49621138,0.4958929,0.4806857,0.5004015
4,0.51545286,0.5206218,0.49712414,0.50421095,0.51339036,0.4960332,0.47830763,0.49809375,0.5019112,0.49314347,0.4866883,0.47741547,0.49472636,0.5140777,0.49272975,0.49481368,0.51015604,0.48907456,0.51024306,0.4993463,0.50662655,0.49482593,0.50663257,0.48313525,0.4949154,0.4908417,0.478909,0.4870475,0.48096034,0.48385614,0.4936686,0.5022732,0.4977398,0.49117887,0.49024713,0.51686084,0.46888784,0.5097225,0.5142287,0.4829508,0.5022107,0.49234763,0.47648424,0.4800582,0.5055491,0.477093,0.48636085,0.4911141,0.49559838,0.49800742,0.5031287,0.4811249,0.4986077,0.4987484,0.48906824,0.48979446,0.4935804,0.5048361,0.5151653,0.49432278,0.49674204,0.49218938,0.49784094,0.48531324,0.5171631,0.4829894,0.48567456,0.5047817,0.5212068,0.51198125,0.493711,0.5137394,0.5149639,0.4868465,0.51056474,0.50039256,0.5058698,0.5107763,0.5195799,0.52030635,0.4985397,0.49520567,0.50330836,0.5016374,0.50160724,0.5101292,0.4832634,0.50072986,0.49274388,0.52190435,0.4944638,0.5070064,0.48436013,0.5206417,0.5114399,0.50361353,0.50257885,0.49751782,0.5040332,0.4978043
5,0.5062794,0.52495414,0.5054526,0.497012,0.49219918,0.50022936,0.4860316,0.48229495,0.49675193,0.5151603,0.50333416,0.52203053,0.51007956,0.5078168,0.50614405,0.5159547,0.50500745,0.5222335,0.5062837,0.50743425,0.50278866,0.503732,0.47926134,0.51435995,0.50635093,0.49947467,0.49437103,0.4993709,0.48972514,0.49034658,0.50264627,0.4827622,0.50287884,0.4797981,0.48651385,0.5158716,0.5039069,0.49084914,0.51173633,0.48632425,0.4803882,0.5174628,0.48432064,0.488229,0.4933202,0.49549684,0.51175356,0.5008393,0.49733034,0.5175391,0.48519206,0.5088058,0.48091686,0.49714088,0.489267,0.5129449,0.50348115,0.49421957,0.49566612,0.5032154,0.4906553,0.51384264,0.5028126,0.50347495,0.4890718,0.50093544,0.4967299,0.5115524,0.50336903,0.49985525,0.50127244,0.4926528,0.5137494,0.47749853,0.48335028,0.48666304,0.5085234,0.4848589,0.50591224,0.5027993,0.49034986,0.5076142,0.50098294,0.4991017,0.5007646,0.49498424,0.49740076,0.51835245,0.4958703,0.49848527,0.49542046,0.5034362,0.5119522,0.48132014,0.50135386,0.4878929,0.4909867,0.50856054,0.51681066,0.5022186
6,0.4988874,0.5002875,0.5052025,0.4919393,0.49784178,0.4976224,0.49629176,0.484515,0.48957464,0.49751863,0.51589006,0.49002793,0.48673087,0.50695133,0.5035699,0.512534,0.50714827,0.4956118,0.48380753,0.483919,0.4762185,0.5109832,0.48651847,0.52180475,0.48214892,0.4851904,0.5088069,0.50206155,0.50574017,0.49997854,0.5100989,0.48216763,0.49860793,0.51558304,0.517291,0.47588485,0.5135912,0.48805958,0.51033586,0.4948381,0.503311,0.49517587,0.5023538,0.4669569,0.5011751,0.5122359,0.48785442,0.51364577,0.50001425,0.51091427,0.48805505,0.50288516,0.51650274,0.5116918,0.4883974,0.5044002,0.5031793,0.46731126,0.5007223,0.51181793,0.49910948,0.51997435,0.48282892,0.4975952,0.5191615,0.48748565,0.48688513,0.51062053,0.50038433,0.51787287,0.50328517,0.47412997,0.51587164,0.50175023,0.51002467,0.5021648,0.5335862,0.48676714,0.49010125,0.5154147,0.49499857,0.48281205,0.4963146,0.5130174,0.48780105,0.50070345,0.5007408,0.4857351,0.49473098,0.4980851,0.50013727,0.50522625,0.5034678,0.49414304,0.49569583,0.5106954,0.48776037,0.5149434,0.48822576,0.52119803
7,0.5145888,0.5135165,0.5018452,0.5060502,0.5237661,0.49165767,0.5006125,0.48887968,0.52333885,0.5020165,0.5034889,0.5225393,0.52826047,0.4857465,0.49602452,0.5067637,0.49645793,0.5171584,0.50421566,0.5062417,0.5014565,0.49113935,0.51279825,0.5189638,0.5103917,0.5030666,0.4957584,0.49651164,0.4858387,0.50822514,0.49851513,0.496225,0.49701834,0.5180592,0.4809332,0.496965,0.51792353,0.4911203,0.4844534,0.52480245,0.4915867,0.49704072,0.50125617,0.50156903,0.50815046,0.48239866,0.50082797,0.5021715,0.50863254,0.5304875,0.5095887,0.4916931,0.5136589,0.49944547,0.505734,0.5092511,0.49536687,0.4952366,0.51751226,0.48848146,0.4932697,0.48445547,0.5010581,0.49409962,0.50390875,0.50292665,0.4839115,0.4992249,0.48823002,0.5057353,0.5221323,0.5036356,0.5193604,0.5080014,0.5167068,0.52631444,0.49314177,0.49681887,0.50404984,0.52126056,0.51980907,0.49629152,0.5039737,0.50370854,0.49792168,0.49940646,0.5023366,0.51197714,0.48868173,0.4869084,0.5027323,0.49434626,0.50568175,0.52139336,0.51393807,0.50988114,0.49315336,0.5170781,0.50358796,0.49525294
8,0.5050175,0.5080989,0.5145551,0.5045605,0.48908272,0.4807978,0.5105855,0.49537835,0.4968255,0.4957344,0.4960075,0.48762864,0.5049128,0.48654675,0.49402797,0.50597364,0.49125525,0.50195384,0.52688336,0.52298146,0.48214546,0.5037801,0.49899033,0.5174221,0.4951147,0.51203144,0.49457446,0.4930154,0.5196245,0.50750726,0.48687807,0.5166907,0.49207667,0.49559057,0.49634126,0.5071823,0.4877902,0.49122018,0.5003904,0.51331705,0.4830147,0.5016534,0.4895347,0.5023441,0.48337188,0.5087092,0.49624002,0.47930104,0.521338,0.4895411,0.5025824,0.49788025,0.51785237,0.491505,0.5062496,0.5073998,0.50065583,0.48684162,0.5106272,0.48638064,0.4931746,0.5064637,0.50708205,0.5145511,0.49621853,0.48525697,0.4822751,0.4929673,0.5001235,0.5014303,0.5096954,0.49916705,0.51005113,0.4762012,0.48809126,0.50751686,0.50149786,0.51513904,0.50571734,0.50038373,0.51064926,0.50276685,0.5115561,0.4916549,0.4967459,0.47875997,0.5138034,0.49707967,0.4923627,0.4867305,0.48358545,0.49403828,0.5018614,0.47922143,0.48361617,0.493377,0.50936943,0.501928,0.5117001,0.50303435
9,0.48715565,0.49813977,0.48481306,0.5073467,0.49872503,0.48583636,0.5107312,0.5121187,0.49848047,0.5080673,0.48073173,0.5199812,0.50056267,0.49102658,0.4960628,0.51046836,0.49849167,0.5042804,0.49773178,0.5056702,0.5173883,0.5000362,0.4963576,0.50651073,0.50832015,0.49710074,0.5156636,0.49220717,0.50010365,0.50707793,0.52168643,0.50729996,0.50814486,0.48954412,0.4892981,0.49307662,0.5149147,0.5110718,0.5068636,0.49985734,0.5009409,0.51237977,0.49006036,0.519949,0.4983776,0.50455487,0.4972071,0.50409305,0.5083638,0.47337595,0.4967944,0.5226358,0.49505886,0.49706736,0.49762985,0.50666255,0.49215946,0.49130854,0.4914215,0.49230272,0.4948487,0.49059975,0.5055255,0.50897855,0.51100004,0.5012624,0.48811433,0.5084098,0.5166447,0.50477064,0.50763917,0.48825282,0.5082751,0.4889361,0.50314426,0.49914327,0.49262583,0.49918208,0.5089127,0.5123029,0.4849383,0.510258,0.5413822,0.5263872,0.49944273,0.4931417,0.50349325,0.51190805,0.5146898,0.4963297,0.50095737,0.5051902,0.4953402,0.4991469,0.49627796,0.5146638,0.48746184,0.49095786,0.5080486,0.4812988
