feature_index,mean_importance,std_importance,coefficient_of_variation,min_importance,max_importance,feature_name
7,0.5038364,0.011458429,0.022742359,0.4807859,0.5304825,"20"" Soil Temp - Max (0)"
120,0.50381136,0.01166755,0.023158569,0.48239568,0.53408265,RH - Min (-1)
195,0.5036299,0.011630258,0.023092864,0.47803926,0.5504057,Daily Mean PM10 Concentration (-6)
106,0.5033561,0.012465121,0.024764022,0.47258282,0.5300917,RH - Max (-1)
169,0.5031956,0.012610246,0.025060328,0.4744766,0.532059,Wind Vector Direction (-1)
1,0.502862,0.013047165,0.025945818,0.46404764,0.52932787,MARICOPA (-1)
142,0.50262,0.013066973,0.025997719,0.47564578,0.5362385,Solar Rad. - Total (-2)
168,0.50253874,0.0109344255,0.021758374,0.47629702,0.5356496,Wind Vector Direction (0)
126,0.5024704,0.013678601,0.027222702,0.46851555,0.543629,Reference ET (0)
51,0.5024621,0.011565335,0.023017328,0.47759235,0.53244627,Actual Vapor Pressure - Daily Mean (-2)
166,0.5022791,0.0124382395,0.0247636,0.47751346,0.53921545,Wind Speed - Mean (-5)
14,0.5022249,0.012315083,0.024521051,0.46837413,0.5377266,"20"" Soil Temp - Mean (0)"
82,0.5022058,0.012734565,0.025357265,0.47312275,0.53678423,Dewpoint - Daily Mean (-5)
113,0.50220287,0.012809065,0.025505759,0.47160998,0.5284888,RH - Mean (-1)
33,0.5021934,0.012079077,0.02405264,0.47512084,0.5331172,"4"" Soil Temp - Max (-5)"
83,0.5021309,0.011396254,0.022695784,0.47531688,0.5274595,Dewpoint - Daily Mean (-6)
111,0.502043,0.013373629,0.026638413,0.46447408,0.5358767,RH - Max (-6)
171,0.5019178,0.012653115,0.025209539,0.4751415,0.5406776,Wind Vector Direction (-3)
78,0.50189805,0.013843804,0.0275829,0.46363565,0.5351409,Dewpoint - Daily Mean (-1)
42,0.5018688,0.012081227,0.024072481,0.46539578,0.5284094,"4"" Soil Temp - Min (0)"
155,0.50185037,0.011844195,0.02360105,0.4701344,0.5263983,Wind Direction Std Dev (-1)
105,0.5018468,0.012519148,0.024946155,0.47682956,0.5368477,RH - Max (0)
